rep_number,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,,,,50.0,100,62.1,100,5.1,179.9,174.8
2,,,,50.0,100,62.9,100,7.9,179.8,171.9
3,,,,50.0,100,63.5,100,6.1,180.0,173.9
4,,,,56.2,100,69.4,100,5.7,180.0,174.3
5,,,,50.0,100,68.2,100,7.6,180.0,172.4
6,,,,50.0,100,68.0,100,8.8,179.6,170.79999999999998
7,,,,57.1,100,68.6,100,7.0,179.3,172.3
8,,,,58.8,100,68.6,100,5.9,180.0,174.1
9,,,,58.3,100,68.8,100,5.9,180.0,174.1
10,,,,56.5,100,69.4,70.0,7.7,179.9,172.20000000000002
11,,,,59.8,100,68.9,100,8.0,180.0,172.0
12,,,,57.1,100,69.3,100,7.3,180.0,172.7
13,,,,56.9,100,69.2,70.0,10.1,180.0,169.9
14,,,,55.4,100,69.2,100,9.4,179.9,170.5
15,,,,57.1,100,69.5,100,6.8,180.0,173.2
16,,,,59.1,100,69.2,100,5.6,179.8,174.20000000000002
17,,,,58.5,100,69.4,100,6.3,180.0,173.7
18,,,,50.0,100,69.8,100,5.6,179.7,174.1
0,,,,,,,,,,
