rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767470482.82563,,,,62.8,100,70.0,70.0,7.5,176.0,168.5
2,1767470483.801306,,,,100,100,70.3,70.0,8.6,177.2,168.6
3,1767470485.104445,,,,67.7,100,70.4,70.0,4.7,179.2,174.5
4,1767470487.294512,,,,64.2,100,70.2,70.0,6.4,179.4,173.0
5,1767470489.906372,,,,63.4,100,70.1,70.0,7.4,176.1,168.7
6,1767470492.505048,,,,100,100,69.9,70.0,5.6,176.7,171.1
7,1767470495.106003,,,,67.1,100,69.9,70.0,6.5,176.7,170.2
8,1767470497.676472,,,,67.7,100,70.3,70.0,6.9,179.1,172.2
9,1767470500.312034,,,,65.6,100,70.0,70.0,7.0,175.5,168.5
10,1767470502.844434,,,,67.9,100,69.3,70.0,8.5,179.7,171.2
11,1767470505.701176,,,,100,100,70.0,70.0,7.0,179.8,172.8
12,1767470508.384642,,,,64.6,100,69.8,70.0,3.7,179.8,176.10000000000002
13,1767470511.00695,,,,62.2,100,69.7,70.0,4.8,180.0,175.2
14,1767470513.533898,,,,65.5,100,70.3,70.0,2.9,180.0,177.1
15,1767470516.097478,,,,60.9,100,70.2,70.0,3.5,179.9,176.4
16,1767470518.675341,,,,63.7,100,70.1,70.0,1.0,180.0,179.0
17,1767470521.230116,,,,64.7,100,70.3,70.0,0.4,179.9,179.5
18,1767470523.821782,,,,64.3,100,69.8,70.0,3.3,179.9,176.6
19,1767470526.333804,,,,100,100,70.4,70.0,0.3,179.7,179.39999999999998
20,1767470528.837949,,,,67.4,100,69.9,70.0,3.8,180.0,176.2
21,1767470531.341495,,,,62.0,100,69.4,70.0,1.8,180.0,178.2
22,1767470533.868479,,,,67.0,100,70.0,70.0,1.8,179.0,177.2
23,1767470536.451462,,,,67.4,100,70.7,70.0,1.1,180.0,178.9
24,1767470539.251032,,,,100,100,69.5,70.0,3.1,179.8,176.70000000000002
25,1767470541.818228,,,,64.0,100,69.7,70.0,5.5,179.2,173.7
26,1767470544.464644,,,,66.0,100,70.4,70.0,2.0,179.9,177.9
27,1767470547.059949,,,,67.9,100,69.8,70.0,3.3,179.9,176.6
28,1767470549.572784,,,,100,100,69.8,70.0,4.4,177.2,172.79999999999998
29,1767470552.221282,,,,66.7,100,69.8,70.0,1.8,179.8,178.0
30,1767470554.893377,,,,65.7,100,69.1,70.0,3.1,180.0,176.9
31,1767470557.609873,,,,64.5,100,69.4,70.0,6.3,180.0,173.7
32,1767470560.234503,,,,67.1,100,68.8,70.0,1.5,178.5,177.0
33,1767470562.831608,,,,67.2,100,68.8,70.0,4.3,179.9,175.6
34,1767470565.450537,,,,63.4,100,68.0,70.0,4.8,177.7,172.89999999999998
35,1767470568.175154,,,,67.8,100,67.7,70.0,3.0,179.3,176.3
36,1767470570.877623,,,,56.1,100,68.0,70.0,,179.1,
37,1767470573.667264,,,,69.4,100,67.8,70.0,1.7,178.9,177.20000000000002
38,1767470576.432342,,,,68.7,100,68.0,70.0,3.4,179.6,176.2
39,1767470578.997152,,,,62.1,100,68.5,70.0,2.7,180.0,177.3
40,1767470581.898203,,,,61.0,100,68.4,70.0,0.2,179.1,178.9
41,1767470584.847278,,,,68.0,100,68.3,70.0,1.7,179.8,178.10000000000002
42,1767470587.637606,,,,58.4,100,68.3,70.0,3.8,179.9,176.1
43,1767470590.542034,,,,100,100,68.5,70.0,5.5,180.0,174.5
44,1767470593.350476,,,,68.0,100,68.6,70.0,4.7,180.0,175.3
45,1767470595.665048,,,,59.8,100,69.1,70.0,5.4,180.0,174.6
46,1767470598.458764,,,,68.9,100,70.0,70.0,2.6,180.0,177.4
47,1767470601.036593,,,,65.3,100,69.4,70.0,3.8,179.4,175.6
48,1767470603.866457,,,,66.0,100,68.2,70.0,2.8,177.7,174.89999999999998
49,1767470606.702183,,,,66.2,100,68.0,70.0,1.8,179.4,177.6
50,1767470609.758996,,,,66.6,100,66.8,70.0,3.5,180.0,176.5
51,1767470612.545881,,,,63.5,100,67.1,70.0,1.0,179.2,178.2
52,1767470615.38561,,,,67.9,100,67.1,70.0,2.1,179.5,177.4
53,1767470618.567358,,,,65.6,100,67.4,70.0,4.7,180.0,175.3
54,1767470621.397857,,,,65.5,100,67.4,70.0,4.5,179.4,174.9
55,1767470624.087894,,,,63.8,100,66.7,70.0,3.8,176.8,173.0
56,1767470627.19418,,,,60.6,100,66.6,70.0,1.2,180.0,178.8
57,1767470630.261312,,,,67.0,100,66.3,70.0,2.7,177.0,174.3
58,1767470633.115697,,,,65.0,100,66.3,70.0,2.3,175.5,173.2
59,1767470636.377593,,,,64.4,100,66.0,70.0,1.4,177.0,175.6
60,1767470639.298559,,,,61.6,100,66.5,70.0,3.3,176.6,173.29999999999998
61,1767470642.082803,,,,59.9,100,66.1,70.0,4.7,176.0,171.3
62,1767470644.978097,,,,64.1,100,66.0,70.0,2.1,175.8,173.70000000000002
63,1767470647.882067,,,,57.5,100,65.2,70.0,1.5,180.0,178.5
64,1767470651.131638,,,,60.3,100,65.3,70.0,1.6,179.4,177.8
65,1767470654.156793,,,,60.5,100,65.0,70.0,2.2,176.4,174.20000000000002
66,1767470657.095257,,,,61.2,100,64.8,70.0,1.5,179.9,178.4
