rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767373903.096313,,,,58.3,100.0,67.0,100,49.6,174.8,125.20000000000002
2,1767373904.294605,,,,60.0,100.0,60.0,100,38.3,177.2,138.89999999999998
3,1767373905.445645,,,,62.3,100.0,60.0,100,37.5,172.8,135.3
4,1767373906.6023,91.925,True,,100,100.0,67.7,100,33.2,171.5,138.3
5,1767373907.789514,92.4,True,,100,100.0,69.6,100,20.4,174.2,153.79999999999998
6,1767373909.030116,,,,65.0,100.0,69.8,100,22.2,175.2,153.0
7,1767373910.285487,90.0,True,,100,100.0,60.0,100,24.1,175.0,150.9
8,1767373911.553643,,,,65.0,100.0,60.0,100,21.9,173.5,151.6
9,1767373912.805619,90.0,True,,100,100.0,60.0,100,23.8,174.8,151.0
10,1767373951.143429,,,,65.0,100.0,64.1,70.0,22.0,172.4,150.4
11,1767373953.297224,,,,100,100.0,60.0,65.0,26.3,164.1,137.79999999999998
12,1767373954.444843,,,,65.0,100.0,60.0,65.0,36.0,174.7,138.7
13,1767373960.924866,,,,65.0,100.0,60.0,100,15.2,178.5,163.3
14,1767373962.135634,,,,65.0,100.0,60.0,100,1.5,178.6,177.1
0,1767373967.618082,,,,,,,,,,
