rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767370239.72719,,,,60.0,100,65.0,100,16.8,46.9,30.099999999999998
2,1767370241.181135,,,,60.0,100,65.0,70.0,15.7,155.1,139.4
3,1767370242.505833,,,,60.0,100,65.0,100,15.0,157.6,142.6
4,1767370243.847354,,,,60.0,100,65.0,100,15.5,164.1,148.6
5,1767370245.098779,,,,60.0,100,65.0,70.0,14.7,157.1,142.4
6,1767370246.417955,,,,60.0,100,65.0,100,15.6,162.2,146.6
7,1767370247.723868,,,,60.0,100,65.0,70.0,15.4,157.7,142.29999999999998
8,1767370249.005724,,,,60.0,100,65.0,100,16.9,155.5,138.6
9,1767370250.274284,,,,60.0,100,65.0,70.0,17.1,159.7,142.6
10,1767370251.588732,,,,60.0,100,65.0,70.0,16.4,158.4,142.0
11,1767370252.879025,,,,60.0,100,65.0,70.0,22.8,159.4,136.6
12,1767370254.119639,,,,60.0,100,65.0,70.0,25.0,154.7,129.7
13,1767370255.308637,,,,60.0,100,65.0,70.0,26.5,155.4,128.9
14,1767370256.548678,,,,60.0,100,65.0,70.0,28.2,153.3,125.10000000000001
15,1767370257.777547,,,,60.0,100,65.0,70.0,24.3,153.0,128.7
16,1767370259.008299,,,,60.0,100,65.0,70.0,26.7,155.6,128.9
17,1767370260.207725,,,,60.0,100,65.0,70.0,22.2,155.0,132.8
18,1767370261.406556,,,,60.0,100,65.0,70.0,25.1,153.9,128.8
19,1767370262.616946,,,,60.0,100,65.0,70.0,26.2,153.7,127.49999999999999
20,1767370263.819687,,,,60.0,100,65.0,70.0,23.3,153.9,130.6
21,1767370265.068625,,,,60.0,100,65.0,70.0,24.4,153.9,129.5
22,1767370266.244483,,,,60.0,100,65.0,70.0,21.1,152.5,131.4
23,1767370267.423673,,,,60.0,100,65.0,70.0,21.3,153.6,132.29999999999998
24,1767370268.653668,,,,60.0,100,65.0,70.0,23.9,156.6,132.7
25,1767370269.867736,,,,60.0,100,65.0,70.0,25.3,157.6,132.29999999999998
26,1767370271.132282,,,,60.0,100,65.0,70.0,24.8,154.6,129.79999999999998
27,1767370272.408674,,,,60.0,100,65.0,70.0,28.5,152.5,124.0
