rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767650134.053769,,,,65.0,100,60.0,100,17.8,105.6,87.8
2,1767650136.224591,,,,65.0,100,60.0,100,15.9,107.7,91.8
3,1767650138.209218,,,,65.0,100,60.0,100,16.4,111.0,94.6
4,1767650140.074651,,,,65.0,100,60.0,100,16.6,116.0,99.4
5,1767650141.916238,,,,65.0,100,60.0,100,15.8,113.1,97.3
6,1767650143.789906,,,,65.0,100,60.0,100,16.1,116.5,100.4
7,1767650145.679426,,,,65.0,100,60.0,100,16.4,115.4,99.0
8,1767650147.598187,,,,65.0,100,60.0,100,17.3,116.2,98.9
9,1767650149.43903,,,,65.0,100,60.0,100,17.0,117.0,100.0
10,1767650151.320321,,,,65.0,100,60.0,100,16.1,115.2,99.1
11,1767650153.175948,,,,65.0,100,60.0,100,17.6,116.0,98.4
12,1767650155.04442,,,,65.0,100,60.0,100,17.8,115.1,97.3
13,1767650156.802003,,,,65.0,100,60.0,70.0,16.5,114.5,98.0
14,1767650158.547731,,,,65.0,100,60.0,70.0,15.3,109.6,94.3
15,1767650160.316318,,,,65.0,100,60.0,70.0,16.3,116.2,99.9
16,1767650161.862001,,,,65.0,100,60.0,100,15.2,115.5,100.3
17,1767650163.432302,,,,65.0,100,60.0,100,16.9,113.0,96.1
18,1767650165.085589,,,,65.0,100,60.0,100,16.5,113.6,97.1
19,1767650166.770627,,,,65.0,100,60.0,100,16.8,115.1,98.3
20,1767650168.573699,,,,65.0,100,60.0,100,18.3,116.4,98.10000000000001
21,1767650170.24037,,,,65.0,100,60.0,100,16.2,114.4,98.2
22,1767650171.922732,,,,65.0,100,60.0,100,16.9,115.1,98.19999999999999
23,1767650173.638923,,,,65.0,100,60.0,100,17.1,111.5,94.4
24,1767650175.343677,,,,65.0,100,60.0,100,16.3,112.7,96.4
25,1767650177.096654,,,,65.0,100,60.0,100,17.8,110.6,92.8
26,1767650178.793225,,,,65.0,100,60.0,100,18.7,110.7,92.0
27,1767650180.602769,,,,65.0,100,60.0,100,18.0,111.5,93.5
28,1767650182.425673,,,,65.0,100,60.0,100,18.1,112.2,94.1
29,1767650184.130704,,,,65.0,100,60.0,100,18.7,111.0,92.3
30,1767650185.875066,,,,65.0,100,60.0,100,18.0,111.6,93.6
31,1767650187.609912,,,,65.0,100,60.0,70.0,16.2,109.2,93.0
32,1767650189.288289,,,,65.0,100,60.0,70.0,16.4,107.7,91.30000000000001
33,1767650191.031489,,,,65.0,100,60.0,70.0,17.2,106.8,89.6
34,1767650192.750081,,,,65.0,100,60.0,100,17.1,109.1,92.0
35,1767650194.485774,,,,65.0,100,60.0,100,16.7,108.8,92.1
36,1767650196.151282,,,,65.0,100,60.0,100,18.2,108.7,90.5
37,1767650197.858247,,,,65.0,100,60.0,100,17.8,110.8,93.0
38,1767650199.593387,,,,65.0,100,60.0,100,18.5,110.3,91.8
39,1767650201.233049,,,,65.0,100,60.0,100,17.7,110.9,93.2
40,1767650202.88089,,,,65.0,100,60.0,100,16.7,109.1,92.39999999999999
41,1767650204.52498,,,,65.0,100,60.0,100,16.8,110.8,94.0
42,1767650206.212309,,,,65.0,100,60.0,100,17.7,109.5,91.8
43,1767650207.850993,,,,65.0,100,60.0,100,16.7,109.5,92.8
44,1767650209.624332,,,,65.0,100,60.0,100,17.3,106.2,88.9
45,1767650211.304673,,,,65.0,100,60.0,100,18.0,104.3,86.3
46,1767650213.005622,,,,65.0,100,60.0,100,18.8,107.3,88.5
47,1767650214.649182,,,,65.0,100,60.0,100,16.9,103.5,86.6
48,1767650216.285706,,,,65.0,100,60.0,100,17.3,108.2,90.9
49,1767650218.018625,,,,65.0,100,60.0,100,17.9,108.8,90.9
50,1767650219.709959,,,,65.0,100,60.0,100,17.8,109.9,92.10000000000001
0,1767650219.712585,,,,,,,,,,
