rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767651571.8692,90.15,True,,100,100,60.6,100,66.1,180.0,113.9
2,1767651573.13296,90.0,True,,100,100,60.0,100,58.0,171.3,113.30000000000001
3,1767651574.505437,90.0,True,,100,100,60.0,100,62.7,177.8,115.10000000000001
4,1767651575.854919,91.05,True,,100,100,64.2,100,61.1,178.1,117.0
5,1767651577.364177,90.0,True,,100,100,60.0,100,64.0,176.4,112.4
6,1767651578.801665,90.425,True,,100,100,61.7,100,61.0,177.5,116.5
7,1767651580.222661,90.0,True,,100,100,60.0,100,59.8,176.3,116.50000000000001
8,1767651581.652511,90.625,True,,100,100,62.5,100,56.4,176.3,119.9
9,1767651583.153789,90.0,True,,100,100,60.0,100,56.0,174.9,118.9
10,1767651585.170806,90.0,True,,100,100,60.0,100,55.3,169.7,114.39999999999999
11,1767651586.785849,,,,75.0,100,60.0,100,62.8,174.6,111.8
12,1767651588.256973,,,,100,100,50.0,100,58.9,172.8,113.9
13,1767651589.730103,91.025,True,,100,100,64.1,100,58.4,176.9,118.5
14,1767651591.304501,90.725,True,,100,100,62.9,100,57.9,175.4,117.5
15,1767651592.852566,90.0,True,,100,100,60.0,100,51.8,173.4,121.60000000000001
16,1767651594.397664,,,,100,100,50.0,100,54.1,176.7,122.6
17,1767651595.968034,90.0,True,,100,100,60.0,100,55.4,171.9,116.5
18,1767651597.647205,,,,100,100,50.0,100,55.1,174.5,119.4
19,1767651599.28926,90.0,True,,100,100,60.0,100,49.2,176.6,127.39999999999999
20,1767651600.894494,90.0,True,,100,100,60.0,100,56.2,175.7,119.49999999999999
0,1767651600.896006,,,,,,,,,,
