rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767649945.456696,,,,60.0,100,70.0,100,20.7,127.5,106.8
2,1767649947.911493,,,,60.0,100,70.0,100,14.8,179.1,164.29999999999998
3,1767649950.494903,,,,60.0,100,70.0,100,17.6,179.9,162.3
4,1767649953.297281,,,,60.0,100,70.0,100,18.5,179.7,161.2
5,1767649955.837806,,,,60.0,100,70.0,100,25.2,180.0,154.8
6,1767649958.277019,,,,60.0,100,70.0,100,27.5,180.0,152.5
7,1767649960.967143,,,,60.0,100,70.0,100,24.3,179.5,155.2
8,1767649963.547573,,,,60.0,100,70.0,100,20.7,179.1,158.4
9,1767649966.015719,,,,55.0,100,70.0,100,19.3,179.9,160.6
10,1767649968.470608,,,,55.0,100,70.0,100,24.2,179.2,155.0
11,1767649970.728101,,,,55.0,100,70.0,100,24.5,179.7,155.2
12,1767649973.130602,,,,60.0,100,70.0,100,22.9,180.0,157.1
13,1767649975.539778,,,,55.0,100,70.0,100,22.4,179.0,156.6
14,1767649977.813205,,,,55.0,100,70.0,100,19.4,179.7,160.29999999999998
15,1767649980.019925,,,,55.0,100,70.0,100,23.9,178.1,154.2
16,1767649982.258345,,,,55.0,100,70.0,100,25.2,178.9,153.70000000000002
17,1767649984.485979,,,,55.0,100,70.0,100,19.9,179.2,159.29999999999998
18,1767649986.646215,,,,60.0,100,70.0,100,19.1,179.3,160.20000000000002
19,1767649988.948141,,,,60.0,100,70.0,100,21.4,179.3,157.9
20,1767649991.373327,,,,60.0,100,70.0,100,20.8,178.8,158.0
21,1767649993.996088,,,,55.0,100,70.0,100,21.3,179.4,158.1
22,1767649996.683043,,,,55.0,100,70.0,100,21.2,178.8,157.60000000000002
23,1767649999.441233,,,,55.0,100,70.0,100,24.3,179.5,155.2
24,1767650002.343093,,,,60.0,100,70.0,100,27.7,178.8,151.10000000000002
25,1767650004.994228,,,,60.0,100,70.0,100,26.6,179.3,152.70000000000002
26,1767650007.919355,,,,55.0,100,70.0,100,23.7,179.3,155.60000000000002
27,1767650010.453926,,,,55.0,100,70.0,100,16.4,178.9,162.5
28,1767650013.083341,,,,55.0,100,70.0,100,24.1,178.4,154.3
29,1767650015.879497,,,,60.0,100,70.0,100,21.7,179.2,157.5
30,1767650018.454381,,,,55.0,100,70.0,100,21.0,180.0,159.0
31,1767650020.724511,,,,60.0,100,70.0,100,17.6,178.6,161.0
32,1767650022.980316,,,,55.0,100,70.0,100,22.0,180.0,158.0
33,1767650025.362795,,,,60.0,100,70.0,100,22.2,179.6,157.4
34,1767650027.733517,,,,60.0,100,70.0,100,20.4,178.8,158.4
35,1767650030.162767,,,,55.0,100,70.0,100,23.5,180.0,156.5
36,1767650032.794204,,,,60.0,100,70.0,100,24.9,179.8,154.9
37,1767650035.389509,,,,55.0,100,70.0,100,22.8,180.0,157.2
38,1767650037.772868,,,,60.0,100,70.0,100,17.7,179.4,161.70000000000002
39,1767650040.539224,,,,60.0,100,70.0,100,17.3,179.8,162.5
40,1767650043.046884,,,,60.0,100,70.0,100,17.1,179.3,162.20000000000002
41,1767650045.553035,,,,55.0,100,70.0,100,22.9,179.5,156.6
42,1767650047.886091,,,,55.0,100,70.0,100,21.6,180.0,158.4
43,1767650050.440557,,,,60.0,100,70.0,100,19.7,179.7,160.0
44,1767650052.697661,,,,55.0,100,70.0,100,19.6,178.8,159.20000000000002
45,1767650055.206658,,,,60.0,100,70.0,100,21.4,178.6,157.2
46,1767650057.58998,,,,55.0,100,70.0,100,20.4,180.0,159.6
47,1767650060.183269,,,,60.0,100,70.0,100,23.7,178.7,155.0
48,1767650062.907563,,,,60.0,100,70.0,100,18.3,178.5,160.2
49,1767650065.237358,,,,55.0,100,70.0,100,21.0,180.0,159.0
50,1767650067.620737,,,,55.0,100,70.0,100,15.5,179.8,164.3
0,1767650067.625921,,,,,,,,,,
