rep_number,timestamp,expert_score,is_perfect,user_feedback,arms_score,legs_score,core_score,head_score,min_angle,max_angle,range_of_motion
1,1767366931.301882,,,,60.0,100,70.0,100,10.8,141.9,131.1
2,1767366933.04337,,,,55.0,100,70.0,100,0.3,178.9,178.6
3,1767366934.622269,,,,55.0,100,70.0,100,5.7,179.9,174.20000000000002
4,1767366936.17627,,,,55.0,100,70.0,100,2.2,179.7,177.5
5,1767366937.618334,,,,55.0,100,70.0,100,6.4,178.5,172.1
6,1767366939.076305,,,,55.0,100,70.0,100,8.3,179.9,171.6
7,1767366940.520749,,,,55.0,100,70.0,100,6.4,179.9,173.5
8,1767366941.984768,,,,55.0,100,70.0,100,6.1,179.9,173.8
9,1767366943.527113,,,,55.0,100,70.0,100,10.1,179.8,169.70000000000002
10,1767366944.987785,,,,55.0,100,70.0,100,9.4,179.5,170.1
11,1767366946.282952,,,,55.0,100,70.0,100,10.2,179.9,169.70000000000002
12,1767366947.644479,,,,60.0,100,70.0,100,10.6,179.5,168.9
13,1767366949.00844,,,,57.4,100,70.0,100,11.7,179.6,167.9
14,1767366950.450354,,,,55.0,100,70.0,100,10.7,179.9,169.20000000000002
15,1767366951.854177,,,,60.0,100,70.0,100,5.1,179.8,174.70000000000002
16,1767366953.324631,,,,55.0,100,70.0,100,7.4,179.8,172.4
17,1767366954.646373,,,,55.0,100,70.0,100,13.8,179.9,166.1
18,1767366956.091607,,,,55.0,100,70.0,100,11.1,180.0,168.9
19,1767366957.44977,,,,58.8,100,70.0,100,5.2,180.0,174.8
20,1767366958.90398,,,,60.0,100,70.0,100,3.8,180.0,176.2
21,1767366960.317644,,,,55.0,100,70.0,100,8.1,179.9,171.8
22,1767366961.731305,,,,55.0,100,70.0,100,6.4,179.9,173.5
23,1767366963.162946,,,,55.0,100,70.0,100,5.7,179.8,174.10000000000002
24,1767366964.565402,,,,55.0,100,70.0,100,10.8,179.5,168.7
25,1767366965.921696,,,,55.0,100,70.0,100,10.9,179.7,168.79999999999998
26,1767366967.36592,,,,60.0,100,70.0,100,0.7,179.9,179.20000000000002
27,1767366968.763493,,,,60.0,100,70.0,100,12.9,179.8,166.9
28,1767366970.173259,,,,55.0,100,70.0,100,10.2,179.9,169.70000000000002
29,1767366971.629647,,,,55.0,100,70.0,100,8.3,180.0,171.7
30,1767366973.04675,,,,55.0,100,70.0,100,11.7,179.7,168.0
31,1767366974.433389,,,,60.0,100,70.0,100,9.2,179.6,170.4
32,1767366975.812998,,,,58.3,100,70.0,100,10.7,179.8,169.10000000000002
33,1767366977.273196,,,,55.0,100,70.0,100,10.5,179.8,169.3
34,1767366978.636618,,,,55.0,100,70.0,100,5.8,179.3,173.5
35,1767366980.031592,,,,55.8,100,70.0,100,10.2,179.7,169.5
36,1767366981.434252,,,,60.0,100,70.0,100,11.6,180.0,168.4
37,1767366982.846578,,,,52.8,100,70.0,100,10.8,179.9,169.1
38,1767366984.310296,,,,55.0,100,70.0,100,6.0,179.8,173.8
39,1767366985.675233,,,,57.4,100,70.0,100,2.1,180.0,177.9
40,1767366987.038987,,,,54.3,100,70.0,60.0,0.1,179.9,179.8
41,1767366988.376602,,,,55.0,100,70.0,60.0,7.1,180.0,172.9
42,1767366989.737532,,,,54.9,100,70.0,100,10.8,179.9,169.1
43,1767366991.214562,,,,55.3,100,70.0,100,1.4,179.9,178.5
44,1767366992.663857,,,,55.8,100,70.0,100,5.7,179.7,174.0
45,1767366994.146502,,,,55.0,100,70.0,100,5.1,179.7,174.6
46,1767366995.51819,,,,59.9,100,70.0,100,7.6,179.7,172.1
47,1767366996.864413,,,,50.4,100,70.0,100,10.5,179.4,168.9
48,1767366998.308075,,,,54.1,100,70.0,100,5.5,179.8,174.3
49,1767366999.749299,,,,55.0,100,70.0,100,5.8,179.8,174.0
50,1767367001.127492,,,,55.0,100,70.0,100,8.2,179.0,170.8
51,1767367002.459327,,,,55.0,100,70.0,100,15.2,179.8,164.60000000000002
52,1767367003.748823,,,,55.0,100,70.0,100,13.4,179.6,166.2
53,1767367005.087584,,,,55.0,100,70.0,100,11.1,180.0,168.9
54,1767367006.493536,,,,55.0,100,70.0,100,9.1,179.9,170.8
55,1767367007.882681,,,,55.0,100,70.0,100,11.1,179.9,168.8
56,1767367009.255599,,,,55.0,100,70.0,100,11.4,180.0,168.6
57,1767367010.664748,,,,55.0,100,70.0,100,10.1,179.6,169.5
58,1767367012.033957,,,,54.2,100,70.0,100,9.7,179.5,169.8
59,1767367013.405285,,,,60.0,100,70.0,100,4.3,179.9,175.6
60,1767367014.760709,,,,55.0,100,70.0,100,8.3,179.8,171.5
61,1767367016.10042,,,,59.2,100,70.0,100,9.6,179.9,170.3
62,1767367017.478595,,,,56.4,100,70.0,100,13.8,179.9,166.1
63,1767367018.863627,,,,57.0,100,70.0,100,6.4,179.9,173.5
64,1767367020.19628,,,,55.0,100,70.0,100,11.4,180.0,168.6
65,1767367021.560142,,,,55.0,100,70.0,100,10.2,180.0,169.8
66,1767367022.897511,,,,55.0,100,70.0,100,8.7,180.0,171.3
67,1767367024.238922,,,,55.0,100,70.0,100,4.4,180.0,175.6
68,1767367025.597384,,,,58.3,100,70.0,100,14.0,180.0,166.0
69,1767367026.940614,,,,55.0,100,70.0,100,13.6,179.9,166.3
70,1767367028.275664,,,,57.7,100,70.0,100,11.0,180.0,169.0
71,1767367029.59368,,,,59.9,100,70.0,100,14.9,179.7,164.79999999999998
72,1767367030.938231,,,,55.0,100,70.0,100,14.7,180.0,165.3
73,1767367032.296089,,,,58.5,100,70.0,100,12.3,180.0,167.7
74,1767367033.67432,,,,55.0,100,70.0,100,13.8,179.9,166.1
75,1767367035.109267,,,,60.0,100,70.0,100,11.6,179.9,168.3
76,1767367036.533565,,,,55.0,100,70.0,100,10.3,180.0,169.7
77,1767367037.940792,,,,57.1,100,70.0,100,12.6,179.9,167.3
78,1767367039.413771,,,,55.0,100,70.0,100,7.3,180.0,172.7
79,1767367040.780988,,,,55.0,100,70.0,100,13.3,179.9,166.6
80,1767367042.137932,,,,55.0,100,70.0,100,9.1,179.7,170.6
81,1767367043.520239,,,,55.0,100,70.0,100,11.9,179.9,168.0
82,1767367044.897033,,,,55.0,100,70.0,100,12.9,179.7,166.79999999999998
83,1767367046.277927,,,,52.9,100,70.0,100,16.5,180.0,163.5
84,1767367047.687488,,,,55.0,100,70.0,100,14.7,179.8,165.10000000000002
85,1767367049.126644,,,,55.0,100,70.0,100,16.9,179.6,162.7
86,1767367050.48225,,,,55.0,100,70.0,100,14.5,179.9,165.4
87,1767367051.840829,,,,55.0,100,70.0,100,14.8,179.9,165.1
88,1767367053.251561,,,,55.0,100,70.0,100,17.7,179.9,162.20000000000002
89,1767367054.681739,,,,55.0,100,70.0,100,13.7,179.9,166.20000000000002
90,1767367056.072802,,,,55.0,100,70.0,100,15.5,180.0,164.5
91,1767367057.4545,,,,60.0,100,70.0,100,13.1,179.9,166.8
92,1767367058.8243,,,,55.0,100,70.0,60.0,11.1,180.0,168.9
93,1767367060.182911,,,,60.0,100,70.0,100,11.0,179.8,168.8
94,1767367061.553495,,,,56.5,100,70.0,100,11.9,180.0,168.1
95,1767367062.935453,,,,55.0,100,70.0,100,16.5,180.0,163.5
96,1767367064.304101,,,,55.0,100,70.0,100,17.5,179.9,162.4
97,1767367065.662963,,,,59.6,100,70.0,100,14.9,179.9,165.0
98,1767367066.992401,,,,60.0,100,70.0,100,14.2,179.8,165.60000000000002
99,1767367068.398764,,,,55.0,100,70.0,100,13.5,179.9,166.4
100,1767367069.768732,,,,55.0,100,70.0,100,16.3,180.0,163.7
0,1767367074.566379,,,,,,,,,,
