rep_number,num_samples,timestamp
1,17,1767339017.615585
2,20,1767339020.407422
3,21,1767339023.221741
4,24,1767339026.028061
5,23,1767339028.930176
6,21,1767339032.018789
7,23,1767339035.066088
8,24,1767339038.36344
9,25,1767339041.432213
10,25,1767339044.642952
11,23,1767339047.778433
12,23,1767339050.885172
13,25,1767339054.036942
14,19,1767339057.001075
15,24,1767339060.080066
16,26,1767339063.116481
17,24,1767339066.085177
18,24,1767339069.018008
19,24,1767339072.104583
20,25,1767339075.082239
21,27,1767339078.276771
22,24,1767339081.394858
23,26,1767339084.6957
24,25,1767339087.975987
25,27,1767339091.239122
26,29,1767339094.46951
27,26,1767339097.714195
28,27,1767339100.808421
29,29,1767339103.94169
30,31,1767339107.528394
31,27,1767339110.670321
32,27,1767339113.805729
33,34,1767339117.58863
34,33,1767339121.393181
35,36,1767339125.145837
36,37,1767339129.083869
37,26,1767339132.562683
38,25,1767339138.657828
39,35,1767339142.398398
40,79,1767339149.172606
41,32,1767339152.810988
42,33,1767339156.63697
43,36,1767339160.473487
44,32,1767339164.37953
45,32,1767339168.350103
46,33,1767339172.218302
47,31,1767339175.915253
48,32,1767339179.919146
49,32,1767339183.796435
50,35,1767339187.853694
51,29,1767339191.39433
52,33,1767339195.24003
53,34,1767339199.169565
54,30,1767339202.952583
55,37,1767339207.151875
56,32,1767339210.942808
57,30,1767339214.744352
58,27,1767339218.244772
59,27,1767339221.943435
60,26,1767339226.150651
61,30,1767339230.23531
62,28,1767339233.960174
63,31,1767339237.951553
64,27,1767339241.572656
65,30,1767339245.52044
66,30,1767339249.393087
67,31,1767339253.295804
68,34,1767339257.566002
69,32,1767339261.321656
70,24,1767339264.948993
71,24,1767339268.422405
72,26,1767339271.520279
73,24,1767339274.551756
74,23,1767339277.569969
75,29,1767339281.230077
76,26,1767339284.620456
77,26,1767339287.998497
78,24,1767339291.526267
79,26,1767339294.579683
80,24,1767339297.823718
81,24,1767339301.039125
82,26,1767339304.440685
83,55,1767339309.84597
84,32,1767339313.402816
85,26,1767339316.771609
86,26,1767339320.275022
87,27,1767339323.808868
88,26,1767339327.212828
89,26,1767339330.422397
90,28,1767339333.921746
91,23,1767339336.795549
92,19,1767339339.716758
93,21,1767339342.683741
94,22,1767339345.653426
95,22,1767339349.066023
96,23,1767339352.215167
97,22,1767339355.90575
98,21,1767339358.987501
99,28,1767339362.64052
100,23,1767339366.125137
0,5561,1767339007.1595159
