rep_number,num_samples,timestamp
1,22,1767370239.72719
2,10,1767370241.181135
3,8,1767370242.505833
4,8,1767370243.847354
5,7,1767370245.098779
6,6,1767370246.417955
7,9,1767370247.723868
8,7,1767370249.005724
9,7,1767370250.274284
10,8,1767370251.588732
11,6,1767370252.879025
12,6,1767370254.119639
13,6,1767370255.308637
14,5,1767370256.548678
15,6,1767370257.777547
16,5,1767370259.008299
17,6,1767370260.207725
18,5,1767370261.406556
19,6,1767370262.616946
20,5,1767370263.819687
21,5,1767370265.068625
22,4,1767370266.244483
23,5,1767370267.423673
24,6,1767370268.653668
25,5,1767370269.867736
26,5,1767370271.132282
27,5,1767370272.408674
28,5,1767370273.619318
29,5,1767370274.831966
30,5,1767370276.035837
31,4,1767370277.235448
32,4,1767370278.427625
33,5,1767370279.630351
34,5,1767370280.819359
35,4,1767370282.001742
36,5,1767370283.235645
37,5,1767370284.407128
38,5,1767370285.631933
39,4,1767370286.813865
40,4,1767370287.927673
41,4,1767370289.127551
42,5,1767370290.352482
43,5,1767370291.609104
44,5,1767370292.834622
45,5,1767370293.950905
46,4,1767370295.131122
47,4,1767370296.280111
48,8,1767370298.572275
49,4,1767370299.735749
50,5,1767370300.972747
51,4,1767370302.213792
52,4,1767370303.36458
53,5,1767370304.5747
54,4,1767370305.806341
55,5,1767370307.005381
56,4,1767370308.210042
57,5,1767370309.446976
58,5,1767370310.639135
59,4,1767370311.792072
60,6,1767370312.950526
61,6,1767370314.091323
62,4,1767370315.211036
63,5,1767370316.426782
64,4,1767370317.589599
65,5,1767370318.781021
66,4,1767370319.951245
67,4,1767370321.117918
68,4,1767370322.28932
69,4,1767370323.429548
70,5,1767370324.571026
71,5,1767370325.689873
72,5,1767370326.831066
73,5,1767370327.989614
74,5,1767370329.130511
75,6,1767370330.331927
76,6,1767370331.463489
77,5,1767370332.563769
78,6,1767370333.815225
79,5,1767370334.993399
80,5,1767370336.134228
81,4,1767370337.295456
82,5,1767370338.446338
83,6,1767370339.62496
84,6,1767370340.752294
85,4,1767370341.832983
86,4,1767370342.956928
87,5,1767370344.122718
88,4,1767370345.29541
89,5,1767370346.434361
90,5,1767370347.63894
91,5,1767370348.740874
92,4,1767370349.870381
93,4,1767370351.005085
94,4,1767370352.159492
95,4,1767370353.387777
96,5,1767370354.564895
97,4,1767370355.774379
98,5,1767370356.906286
99,5,1767370358.10802
100,5,1767370359.338836
0,1974,1767370232.009421
