rep_number,num_samples,timestamp
1,7,1767650276.45981
2,8,1767650277.455694
3,8,1767650278.462648
4,7,1767650279.454656
5,8,1767650280.459644
6,8,1767650281.473944
7,9,1767650282.513672
8,8,1767650283.554703
9,9,1767650284.587253
10,7,1767650285.629655
11,9,1767650286.660007
12,8,1767650287.682438
13,8,1767650288.690897
14,9,1767650289.732716
15,9,1767650290.769367
16,8,1767650291.818903
17,8,1767650292.825687
18,8,1767650293.814125
19,9,1767650294.909317
20,8,1767650295.845027
21,8,1767650296.878376
22,9,1767650297.91024
23,8,1767650298.951077
24,9,1767650300.025782
25,9,1767650301.128806
26,8,1767650302.194712
27,8,1767650303.274379
28,8,1767650304.363791
29,8,1767650305.411415
30,10,1767650306.516854
31,8,1767650307.608712
32,10,1767650308.729798
33,9,1767650309.811426
34,9,1767650310.819416
35,8,1767650311.84141
36,8,1767650312.925821
37,8,1767650313.953601
38,9,1767650315.034382
39,8,1767650316.08313
40,7,1767650317.122419
41,9,1767650318.191878
42,9,1767650319.248591
43,8,1767650320.317129
44,8,1767650321.403169
45,9,1767650322.451662
46,9,1767650323.558753
47,9,1767650324.688661
48,9,1767650325.812047
49,10,1767650326.935395
50,9,1767650328.02558
0,910,1767650269.501792
