rep_number,num_samples,timestamp
1,12,1767381092.063578
2,10,1767381094.813802
3,9,1767381097.220819
4,13,1767381099.973475
5,11,1767381102.118627
6,11,1767381104.316005
7,12,1767381106.449537
8,13,1767381108.689172
9,10,1767381110.855862
10,12,1767381113.064011
11,10,1767381115.236597
12,10,1767381117.453697
13,10,1767381119.676857
14,11,1767381121.864167
15,12,1767381124.084131
16,13,1767381126.505006
17,11,1767381128.707783
18,11,1767381130.873982
19,11,1767381133.009071
20,11,1767381135.246082
21,13,1767381137.455255
22,14,1767381139.655182
23,11,1767381141.814739
24,11,1767381144.059442
25,11,1767381146.301625
26,13,1767381148.574166
27,13,1767381150.766766
28,15,1767381153.064383
29,14,1767381155.392716
30,13,1767381157.569623
0,1200,1767381079.996855
