rep_number,num_samples,timestamp
1,11,1767649849.042247
2,4,1767649849.995036
3,5,1767649850.993825
4,5,1767649851.953491
5,5,1767649852.940192
6,5,1767649853.942003
7,5,1767649854.972011
8,5,1767649856.009993
9,5,1767649857.005131
10,5,1767649858.013415
11,4,1767649858.953214
12,6,1767649859.940938
13,5,1767649860.942965
14,5,1767649861.938519
15,4,1767649862.932868
16,5,1767649863.931529
17,4,1767649864.91558
18,5,1767649865.913877
19,5,1767649866.865309
20,4,1767649867.817162
21,6,1767649868.832712
22,4,1767649869.811479
23,6,1767649870.845813
24,5,1767649871.886286
25,5,1767649872.91937
26,6,1767649873.965079
27,5,1767649874.952106
28,4,1767649875.911646
29,5,1767649876.90334
30,5,1767649877.901693
31,4,1767649878.88544
32,5,1767649879.839034
33,6,1767649880.836142
34,5,1767649881.786872
35,6,1767649882.806148
36,4,1767649883.754267
37,5,1767649884.728195
38,5,1767649885.733937
39,4,1767649886.684864
40,5,1767649887.724729
41,5,1767649888.709102
42,5,1767649889.699525
43,5,1767649890.67219
44,6,1767649891.706681
45,5,1767649892.695423
46,5,1767649893.737491
47,5,1767649894.761219
48,6,1767649895.767538
49,5,1767649896.767941
50,5,1767649897.810799
0,842,1767649843.461698
