rep_number,num_samples,timestamp
1,17,1767366931.301882
2,13,1767366933.04337
3,11,1767366934.622269
4,10,1767366936.17627
5,10,1767366937.618334
6,10,1767366939.076305
7,10,1767366940.520749
8,10,1767366941.984768
9,12,1767366943.527113
10,9,1767366944.987785
11,8,1767366946.282952
12,7,1767366947.644479
13,7,1767366949.00844
14,9,1767366950.450354
15,7,1767366951.854177
16,10,1767366953.324631
17,9,1767366954.646373
18,9,1767366956.091607
19,8,1767366957.44977
20,10,1767366958.90398
21,9,1767366960.317644
22,9,1767366961.731305
23,9,1767366963.162946
24,8,1767366964.565402
25,8,1767366965.921696
26,10,1767366967.36592
27,8,1767366968.763493
28,8,1767366970.173259
29,10,1767366971.629647
30,9,1767366973.04675
31,9,1767366974.433389
32,8,1767366975.812998
33,10,1767366977.273196
34,9,1767366978.636618
35,9,1767366980.031592
36,9,1767366981.434252
37,7,1767366982.846578
38,9,1767366984.310296
39,9,1767366985.675233
40,8,1767366987.038987
41,8,1767366988.376602
42,8,1767366989.737532
43,8,1767366991.214562
44,9,1767366992.663857
45,9,1767366994.146502
46,8,1767366995.51819
47,7,1767366996.864413
48,9,1767366998.308075
49,8,1767366999.749299
50,8,1767367001.127492
51,7,1767367002.459327
52,8,1767367003.748823
53,8,1767367005.087584
54,8,1767367006.493536
55,9,1767367007.882681
56,8,1767367009.255599
57,8,1767367010.664748
58,7,1767367012.033957
59,8,1767367013.405285
60,8,1767367014.760709
61,7,1767367016.10042
62,9,1767367017.478595
63,9,1767367018.863627
64,9,1767367020.19628
65,7,1767367021.560142
66,7,1767367022.897511
67,9,1767367024.238922
68,8,1767367025.597384
69,9,1767367026.940614
70,7,1767367028.275664
71,8,1767367029.59368
72,9,1767367030.938231
73,7,1767367032.296089
74,9,1767367033.67432
75,7,1767367035.109267
76,9,1767367036.533565
77,8,1767367037.940792
78,8,1767367039.413771
79,9,1767367040.780988
80,8,1767367042.137932
81,8,1767367043.520239
82,7,1767367044.897033
83,7,1767367046.277927
84,7,1767367047.687488
85,10,1767367049.126644
86,8,1767367050.48225
87,7,1767367051.840829
88,8,1767367053.251561
89,8,1767367054.681739
90,7,1767367056.072802
91,6,1767367057.4545
92,6,1767367058.8243
93,7,1767367060.182911
94,7,1767367061.553495
95,7,1767367062.935453
96,7,1767367064.304101
97,7,1767367065.662963
98,6,1767367066.992401
99,9,1767367068.398764
100,8,1767367069.768732
0,2240,1767366923.855755
